SMILES0,seg0_feat0,DP,density,Rg,self-diffusion,Cp,dielectric_const_dc,refractive_index
*C(=O)CCCCC(=O)OCCSCCO*,32,32,1.17225702,21.32027091,1.72E-12,3396.83013,3.098507371,1.487216299
*C(=O)CCCCC(=O)OC/C=C/CO*,35,35,1.125142145,23.31694755,1.30E-12,3265.554975,3.149261026,1.471527019
*C(=O)CCCCC(=O)Oc1cccc(c1)O*,35,35,1.202827457,22.16951981,8.55E-13,3261.221351,3.525825213,1.530900417
*C(=O)CC(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O*,31,31,1.327520414,20.94667486,4.69E-13,2439.960729,3.190528569,1.586550495
*C(=O)CCCCC(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O*,21,21,1.200219045,20.75408931,4.58E-13,2983.025765,2.963594945,1.543732846
*C(=O)CCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O*,21,21,1.114538069,22.07734065,1.30E-12,3257.543613,3.260032431,1.550014409
*C(=O)CCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O*,15,15,1.073772956,21.91847196,1.11E-12,3399.309467,3.090779024,1.551638556
*C(=O)CCCCC(=O)Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O*,17,17,1.029276841,22.55649437,7.41E-13,3306.791599,2.60367979,1.514901141
*C(=O)CCCCC(=O)OCC#CCO*,38,38,1.146572633,23.08709038,6.54E-13,3045.68053,2.831172831,1.483165821
*C(=O)CCCCC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O*,25,25,1.213623845,23.05499177,7.95E-13,2696.869583,3.474324068,1.603501604
*C(=O)CCCCCCCCC(=O)OC(C1CO1)C(C2CO2)O*,22,22,1.102549805,20.07674026,5.59E-13,3233.967433,3.229320195,1.444468333
*C(=O)CCCCCCCCC(=O)OCC(COC(CCCC1)C1OC)O*,17,17,1.045779144,18.15481852,1.39E-12,3749.903054,2.615509575,1.450132721
*C(=O)c1ccc(cc1)C(=O)OC(C)COC(C)COC(C)CO*,22,22,1.12594341,19.56057582,2.06E-13,3112.327027,2.620546044,1.498001394
*C(=O)c1ccc(cc1)C(=O)Oc1cccc(c1)O*,38,38,1.280726894,25.37378855,2.14E-13,2548.605214,3.188447003,1.639856022
*C(=O)c1ccc(cc1)C(=O)Oc1c(ccc2)c(ccc1)c2O*,31,31,1.237987466,36.32497598,5.86E-13,2640.069889,3.047051719,1.656452734
*C(=O)c1ccc(cc1)C(=O)Oc1cc2c(cc1)ccc(c2)O*,31,31,1.253880449,27.57699342,3.95E-13,2556.253072,3.320186322,1.694594723
*C(=O)c1ccc(cc1)C(=O)OCC#CCO*,41,41,1.22026209,24.03537791,1.59E-13,2615.501722,2.945314611,1.588306177
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O*,22,22,1.153460539,27.54809023,6.42E-13,2764.907248,2.914325157,1.616020351
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)Cc2ccc(cc2)O*,25,25,1.210050192,28.25220042,4.96E-13,2745.128434,3.05405314,1.6498051
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O*,25,25,1.302044056,24.36878528,3.79E-13,2431.403611,3.106858508,1.638271394
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)Sc2ccc(cc2)O*,27,27,1.256682794,27.27679334,3.14E-13,2456.919885,3.140605753,1.679311191
*C(=O)c1ccc(cc1)C(=O)OCC(COC(CCCC1)C1OC)O*,22,22,1.140370093,16.83673267,1.79E-13,2992.442891,2.668866512,1.513444336
*C(=O)c1ccc(cc1)C(=O)OCCSCCO*,34,34,1.257357115,21.88636744,4.21E-13,2630.332468,3.030624403,1.575279382
*C(=O)c1ccc(cc1)C(=O)OC(CS1)SCC1O*,35,35,1.295398334,20.16999067,6.99E-13,2769.027955,2.832999149,1.591272435
*C(=O)c1ccc(cc1)C(=O)OC(C1CO1)C(C2CO2)O*,31,31,1.236646466,21.26071262,6.30E-13,2656.897296,3.552667535,1.52586397
*C(=O)CC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O*,33,33,1.288116792,22.03317673,9.05E-13,2591.861193,3.198940475,1.636377288
*C(=O)c1ccc(cc1)C(=O)OC/C=C/CO*,38,38,1.22023539,23.33496138,4.68E-13,2709.976089,3.069636779,1.596098698
*C(=O)CCCCCCCCC(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O*,17,17,1.134821509,22.44348568,5.87E-13,3303.291907,2.889910871,1.529157759
*C(=O)CCCCCCCC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O*,21,21,1.158876912,22.09384999,7.77E-13,3338.557337,3.43678433,1.572398005
*C(=O)CCCCCCCC(=O)OC/C=C/CO*,27,27,1.064817438,22.67618233,1.16E-12,3534.000814,3.066251628,1.487559114
*C(=O)CCCCCCCC(=O)Oc1cccc(c1)O*,27,27,1.118449403,21.19859807,1.05E-12,3680.149409,3.255392344,1.516304306
*C(=O)CCCCCCCC(=O)Oc1cc2c(cc1)ccc(c2)O*,23,23,1.14121606,21.52579767,7.04E-13,3083.715779,3.138515906,1.585667932
*C(=O)CCCCCCCC(=O)OCC(COC(CCCC1)C1OC)O*,17,17,1.054687717,15.86482644,7.73E-13,3481.798345,2.53804746,1.447958544
*C(=O)CCCCCCCC(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O*,20,20,1.208493349,23.43597794,4.31E-13,2786.886436,3.269965923,1.556016527
*C(=O)CCCCCCCC(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O*,16,16,1.092293887,21.1590387,5.33E-13,3105.819157,3.051426774,1.553961704
*C(=O)CCCCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O*,19,19,1.094138711,23.58614479,5.31E-13,3085.998133,3.23852743,1.544837714
*C(=O)CC(=O)OC(CS1)SCC1O*,47,47,1.376272588,22.00900842,2.84E-13,2402.114808,2.822030358,1.524908487
*C(=O)CCCCCCC(=O)Oc1cccc(c1)O*,29,29,1.146410516,23.32330019,6.03E-13,3185.478101,3.316187367,1.522875338
*C(=O)CCCCCCC(=O)Oc1cc2c(cc1)ccc(c2)O*,25,25,1.157235173,21.57176183,6.54E-13,3445.4782,3.515947103,1.595480833
