row_idx,split,label,phase_label,family,monomer_A,monomer_B,volume_fraction,degree_polymerization,topology_index
0,fold3,0,other,PBPCS|PDMS,PBPCS,PDMS,0.716494845,44100.0,-0.002289290322340109
1,fold3,0,other,PBPCS|PDMS,PBPCS,PDMS,0.793814433,44100.0,-0.010873753603543233
2,fold3,0,other,PBPCS|PDMS,PBPCS,PDMS,0.690721649,54800.0,0.07502468269224674
3,fold2,0,other,PE|PEE,PE,PEE,0.451030928,36000.0,1.2844274805547358
4,fold2,0,other,PE|PEE,PE,PEE,0.587628866,43000.0,1.4463904493868738
5,fold2,0,other,PE|PEE,PE,PEE,0.597938144,43000.0,1.4435483534723896
6,fold2,0,other,PE|PEE,PE,PEE,0.574742268,40000.0,1.3620379791773776
7,fold1,1,lamellar,PEO|PI,PEO,PI,0.257345361,9800.0,-0.5891810652589969
8,fold1,1,lamellar,PEO|PI,PEO,PI,0.257345361,26400.0,-0.165470343534162
9,fold1,1,lamellar,PEO|PI,PEO,PI,0.061469072,14900.0,-0.04210260236333893
10,fold4,0,other,PI|PS,PI,PS,0.773195876,39900.0,0.6872598104053604
11,fold4,0,other,PI|PS,PI,PS,0.551546392,39800.0,0.6779795505238243
12,fold1,1,lamellar,PEO|PI,PEO,PI,0.272809278,14900.0,-0.04509798858896401
13,fold1,1,lamellar,PEO|PI,PEO,PI,0.257345361,16400.0,-0.03055710883318682
14,fold1,1,lamellar,PEO|PI,PEO,PI,0.257345361,10800.0,-0.4301462519008047
15,fold1,1,lamellar,PEO|PI,PEO,PI,0.257345361,9800.0,-0.5790153974185416
16,fold1,1,lamellar,PEO|PI,PEO,PI,0.252190722,10400.0,-0.6023759534102369
17,fold1,1,lamellar,PEO|PI,PEO,PI,0.26507732,9200.0,-1.1208949632734277
18,fold1,1,lamellar,PEO|PI,PEO,PI,0.257345361,26400.0,-0.16547542890557215
19,fold1,1,lamellar,PEO|PI,PEO,PI,0.26507732,8950.0,-1.252639970439484
20,fold4,1,lamellar,PBMA|PS,PBMA,PS,0.510309278,426000.0,2.8051026931217637
21,fold4,1,lamellar,PBMA|PS,PBMA,PS,0.510309278,463000.0,2.863324908617756
22,fold1,1,lamellar,PEO|PI,PEO,PI,0.231572165,9800.0,-0.5698842871120581
23,fold1,1,lamellar,PEO|PI,PEO,PI,0.234149485,9800.0,-0.6005986573333705
24,fold1,1,lamellar,PEO|PI,PEO,PI,0.236726804,9800.0,-0.568333855933686
25,fold1,1,lamellar,PEO|PI,PEO,PI,0.239304124,9800.0,-0.567378856363389
26,fold1,1,lamellar,PEO|PI,PEO,PI,0.241881443,9800.0,-0.580284396879645
27,fold1,1,lamellar,PEO|PI,PEO,PI,0.244458763,9800.0,-0.5787279991320089
28,fold1,1,lamellar,PEO|PI,PEO,PI,0.247036082,9800.0,-0.5787279991320089
29,fold1,1,lamellar,PEO|PI,PEO,PI,0.249613402,9800.0,-0.5894862627933805
30,fold1,1,lamellar,PEO|PI,PEO,PI,0.252190722,9800.0,-0.5787279991320089
31,fold1,1,lamellar,PEO|PI,PEO,PI,0.254768041,9800.0,-0.5771829601158458
32,fold1,1,lamellar,PEO|PI,PEO,PI,0.257345361,9800.0,-0.5698842871120581
33,fold4,0,other,PI|PS,PI,PS,0.768836339,39900.0,0.6672264020934623
34,fold4,0,other,PI|PS,PI,PS,0.773055991,39900.0,0.6678968508870202
35,fold4,0,other,PI|PS,PI,PS,0.777315233,39900.0,0.6736268742716052
36,fold4,0,other,PI|PS,PI,PS,0.545270691,39800.0,0.6862181082793448
37,fold4,0,other,PI|PS,PI,PS,0.550656603,39800.0,0.6925373666367185
38,fold4,0,other,PI|PS,PI,PS,0.556026019,39800.0,0.6843288706963205
39,fold1,1,lamellar,PEO|PI,PEO,PI,0.254232325,8950.0,-1.2415043681260272
40,fold1,1,lamellar,PEO|PI,PEO,PI,0.258409049,8950.0,-1.2494808383778235
41,fold1,1,lamellar,PEO|PI,PEO,PI,0.262488605,8950.0,-1.2558091438416112
42,fold1,1,lamellar,PEO|PI,PEO,PI,0.264161061,8950.0,-1.2321924050098754
43,fold1,1,lamellar,PEO|PI,PEO,PI,0.267349916,8950.0,-1.2494808383778235
44,fold3,0,other,PEE|PEO,PEE,PEO,0.641752577,8700.0,-0.5920292812217627
45,fold3,0,other,PEE|PEO,PEE,PEO,0.644329897,8700.0,-0.598036554822807
46,fold3,0,other,PEE|PEO,PEE,PEO,0.646907216,8700.0,-0.5985166211155653
47,fold3,0,other,PEE|PEO,PEE,PEO,0.649484536,8700.0,-0.594187286751291
48,fold3,0,other,PEE|PEO,PEE,PEO,0.652061856,8700.0,-0.5985166211155653
49,fold3,0,other,PEE|PEO,PEE,PEO,0.654639175,8700.0,-0.598036554822807
50,fold3,0,other,PEE|PEO,PEE,PEO,0.657216495,8700.0,-0.5985166211155653
51,fold3,0,other,PEE|PEO,PEE,PEO,0.659793814,8700.0,-0.5920292812217627
52,fold3,0,other,PEE|PEO,PEE,PEO,0.662371134,8700.0,-0.5963497240421763
53,fold3,0,other,PEE|PEO,PEE,PEO,0.664948454,8700.0,-0.5937126449364167
54,fold3,0,other,PEE|PEO,PEE,PEO,0.667525773,8700.0,-0.598036554822807
55,fold3,0,other,PEE|PEO,PEE,PEO,0.670103093,8700.0,-0.5963497240421763
56,fold3,0,other,PEE|PEO,PEE,PEO,0.672680412,8700.0,-0.5958723853988076
57,fold3,0,other,PEE|PEO,PEE,PEO,0.675257732,8700.0,-0.5920292812217627
58,fold3,0,other,PEE|PEO,PEE,PEO,0.677835052,8700.0,-0.5963497240421763
59,fold3,0,other,PEE|PEO,PEE,PEO,0.680412371,8700.0,-0.5985166211155653
60,fold3,0,other,PEE|PEO,PEE,PEO,0.682989691,8700.0,-0.5937126449364167
61,fold3,0,other,PEE|PEO,PEE,PEO,0.68556701,8700.0,-0.5985166211155653
62,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.654639175,14300.0,-0.11778893637669577
63,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.724226804,15300.0,-0.05299460395665322
64,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.829896907,16000.0,-0.021066605728357172
