row_idx,split,label,phase_label,family,monomer_A,monomer_B,volume_fraction,degree_polymerization,topology_index
65,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.914948454,18900.0,0.1470241982879782
66,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.567010309,12300.0,-0.2525357114659649
67,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.56443299,13200.0,-0.1829803294868067
68,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.577319588,13100.0,-0.16446155049783995
69,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.693298969,14500.0,-0.07324734632087895
70,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.695876289,15200.0,-0.06363916692424475
71,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.518041237,12100.0,-0.27039318136590274
72,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.587628866,13200.0,-0.15386857213736166
73,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.762886598,16100.0,0.01017786210782958
74,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.713917526,18000.0,0.08182040170289567
75,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.693298969,19100.0,0.16370624989162832
76,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.708762887,20100.0,0.22413997881762943
77,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.889175258,25000.0,0.4351587174962201
78,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.817010309,28100.0,0.5282510492719688
79,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.523195876,22600.0,0.2967287344294564
80,fold3,1,lamellar,PEE/PE|PVCH,PEE/PE,PVCH,0.538659794,31100.0,0.647010801594705
81,fold4,0,other,PEHMA|PS,PEHMA,PS,0.755154639,44200.0,0.6052924041469702
82,fold4,0,other,PEHMA|PS,PEHMA,PS,0.440721649,29500.0,0.2903702994384164
83,fold4,0,other,PEHMA|PS,PEHMA,PS,0.755154639,39400.0,0.4853105583142374
84,fold4,1,lamellar,PI|PS,PI,PS,0.530927835,25900.0,0.24850609770192145
85,fold4,0,other,PI|PS,PI,PS,0.587628866,26700.0,0.28065007040391693
86,fold4,0,other,PI|PS,PI,PS,0.546391753,25700.0,0.24489893369825097
87,fold4,0,other,PI|PS,PI,PS,0.56443299,26800.0,0.28527481763669804
88,fold4,0,other,PI|PS,PI,PS,0.536082474,25400.0,0.24592201334999783
89,fold4,0,other,PI|PS,PI,PS,0.507731959,24400.0,0.206415251190228
90,fold4,0,other,PI|PS,PI,PS,0.554123711,27100.0,0.2833433949127493
91,fold4,0,other,PI|PS,PI,PS,0.530927835,26100.0,0.266495977597662
92,fold2,1,lamellar,PE|PEP,PE,PEP,0.430412371,88113.20755,1.8527095688626511
93,fold2,1,lamellar,PE|PEP,PE,PEP,0.481958763,107476.6355,2.0371481940922833
94,fold2,1,lamellar,PE|PEP,PE,PEP,0.481958763,117431.1927,2.1157234376868623
95,fold2,1,lamellar,PE|PEP,PE,PEP,0.533505155,128301.8868,2.200816228115487
96,fold4,1,lamellar,PEE|PEP,PEE,PEP,0.164948454,44259.25926,0.9603141931665199
97,fold4,1,lamellar,PEE|PEP,PEE,PEP,0.371134021,50093.45794,1.080738347540483
98,fold4,1,lamellar,PEE|PEP,PEE,PEP,0.445876289,54761.90476,1.166873456488322
99,fold4,1,lamellar,PEE|PEP,PEE,PEP,0.87371134,81238.09524,1.5206346662084358
100,fold2,1,lamellar,PE|PEE,PE,PEE,0.474226804,23913.04348,0.9457022384137541
101,fold2,1,lamellar,PE|PEE,PE,PEE,0.592783505,27238.09524,1.067199760097303
102,fold1,1,lamellar,PEO|POB,PEO,POB,0.234149485,3400.0,-0.9053015938815027
103,fold1,1,lamellar,PEO|POB,PEO,POB,0.25992268,4400.0,-0.701403525188578
104,fold1,1,lamellar,PEO|POB,PEO,POB,0.277963918,4700.0,-0.622588549923093
105,fold1,1,lamellar,PEO|POB,PEO,POB,0.417139175,5900.0,-0.3960112223269017
106,fold1,1,lamellar,PEO|POB,PEO,POB,0.543427835,7600.0,-0.1649802994910586
107,fold1,1,lamellar,PEO|POB,PEO,POB,0.664561856,9000.0,-0.018767549859479846
108,fold1,0,other,PEO|POB,PEO,POB,0.703221649,12400.0,0.31568399956279547
109,fold1,1,lamellar,PEO|POB,PEO,POB,0.819201031,12400.0,0.29107298146489685
110,fold1,1,lamellar,PEO|POB,PEO,POB,0.613015464,12400.0,0.12773000018791686
111,fold1,0,other,PEO|POB,PEO,POB,0.278350515,7400.0,-0.3141258121073669
112,fold1,0,other,PEO|POB,PEO,POB,0.412371134,2300.0,-1.3180379170830598
113,fold1,0,other,PEO|POB,PEO,POB,0.363402062,6500.0,-0.33928425918333
114,fold1,0,other,PEO|POB,PEO,POB,0.484536082,7700.0,-0.12610788347890634
115,fold1,0,other,PEO|POB,PEO,POB,0.448453608,7100.0,-0.2072189813695089
116,fold1,0,other,PEO|POB,PEO,POB,0.703608247,12500.0,0.3167623872451291
117,fold1,0,other,PEO|POB,PEO,POB,0.448453608,7200.0,-0.17620947953923585
118,fold1,1,lamellar,PEO|POB,PEO,POB,0.484536082,7000.0,-0.2346192375080135
119,fold1,1,lamellar,PEO|POB,PEO,POB,0.548969072,8100.0,-0.11625539665319723
120,fold1,1,lamellar,PEO|POB,PEO,POB,0.417525773,4400.0,-0.7086651694179943
121,fold1,1,lamellar,PEO|POB,PEO,POB,0.543814433,4700.0,-0.622588549923093
122,fold1,1,lamellar,PEO|POB,PEO,POB,0.664948454,6100.0,-0.374802844600146
123,fold1,1,lamellar,PEO|POB,PEO,POB,0.819587629,7600.0,-0.1649802994910586
124,fold1,1,lamellar,PEO|POB,PEO,POB,0.260309278,9000.0,0.0006058581419471458
125,fold1,1,lamellar,PEO|POB,PEO,POB,0.278350515,12300.0,0.2834528897638046
126,fold1,1,lamellar,PEO|POB,PEO,POB,0.342783505,7000.0,-0.35725175793130937
127,fold1,1,lamellar,PEO|POB,PEO,POB,0.466494845,8300.0,-0.20048456869825904
128,fold1,0,other,PEO|POB,PEO,POB,0.613402062,12400.0,0.12314405756015732
129,fold1,0,other,PEO|POB,PEO,POB,0.536082474,15100.0,0.16489837143003308
130,fold1,0,other,PEO|POB,PEO,POB,0.515463918,14900.0,0.12877706460185256
131,fold2,0,other,PE|PEE,PE,PEE,0.546391753,36000.0,1.2893444352746404
132,fold2,0,other,PE|PEE,PE,PEE,0.644329897,43000.0,1.449125889964712
133,fold2,0,other,PE|PEE,PE,PEE,0.649484536,43000.0,1.4537091193919303
134,fold2,0,other,PE|PEE,PE,PEE,0.832474227,40000.0,1.3699936193892739
135,fold2,1,lamellar,PE|PEE,PE,PEE,0.505154639,44000.0,1.4154727167391106
136,fold2,0,other,PE|PEE,PE,PEE,0.74742268,42000.0,1.4392525397906093
137,fold1,0,other,PEO|PI,PEO,PI,0.2625,6600.0,-0.7980125342890932
138,fold1,0,other,PEO|PI,PEO,PI,0.672293814,9800.0,-0.5787279991320089
139,fold1,1,lamellar,PEO|PI,PEO,PI,0.252190722,5400.0,-1.0021659518087214
140,fold1,1,lamellar,PEP|PLA,PEP,PLA,0.391752577,2080.0,-2.255162061130558
141,fold1,1,lamellar,PEP|PLA,PEP,PLA,0.533505155,2580.0,-2.1452305400053615
142,fold1,1,lamellar,PEP|PLA,PEP,PLA,0.543814433,3180.0,-2.044445935591098
143,fold1,1,lamellar,PEP|PLA,PEP,PLA,0.56185567,3280.0,-2.077108230999719
144,fold1,0,other,PEP|PLA,PEP,PLA,0.448453608,2550.0,-1.9359841186773643
145,fold1,0,other,PEP|PLA,PEP,PLA,0.484536082,2750.0,-1.8790008394321323
146,fold1,0,other,PEP|PLA,PEP,PLA,0.487113402,2750.0,-1.8790008394321323
147,fold1,0,other,PEP|PLA,PEP,PLA,0.5,2950.0,-1.8099372621347014
148,fold1,1,lamellar,PEP|PLA,PEP,PLA,0.533505155,3150.0,-1.8256021467874717
149,fold1,1,lamellar,PEP|PLA,PEP,PLA,0.587628866,3350.0,-1.8043378429107388
150,fold1,1,lamellar,PEP|PLA,PEP,PLA,0.706185567,4050.0,-1.6925378942568632
151,fold1,1,lamellar,PEP|PLA,PEP,PLA,0.731958763,4550.0,-1.661923130571271
152,fold1,1,lamellar,PEP|PLA,PEP,PLA,0.737113402,4950.0,-1.6450260621568744
153,fold1,0,other,PEP|PLA,PEP,PLA,0.706185567,5950.0,-1.598376861421576
154,fold1,0,other,PEP|PLA,PEP,PLA,0.706185567,6050.0,-1.5927062386422333
155,fold4,0,other,PI|PS,PI,PS,0.502190722,23789.57545,0.2317997693825786
156,fold4,0,other,PI|PS,PI,PS,0.445489691,19541.62506,0.02405995302237608
157,fold4,0,other,PI|PS,PI,PS,0.478994845,19645.23456,0.02744622676746579
158,fold4,1,lamellar,PI|PS,PI,PS,0.767654639,30926.03069,0.248003583940435
159,fold4,1,lamellar,PI|PS,PI,PS,0.770231959,29191.07873,0.1884064783942268
160,fold4,1,lamellar,PI|PS,PI,PS,0.82693299,31192.97338,0.2655868241957938
161,fold4,0,other,PI|PS,PI,PS,0.535695876,19254.0983,-0.4475738018730235
162,fold4,0,other,PI|PS,PI,PS,0.556314433,20558.50131,-0.37512351085279244
163,fold4,1,lamellar,PI|PS,PI,PS,0.504768041,18761.44607,-0.46461588059336606
164,fold0,0,other,P2VP|PS,P2VP,PS,0.657216495,13548.73481,-0.16315634303223153
165,fold0,0,other,P2VP|PS,P2VP,PS,0.587628866,12786.48,-0.19788163112973922
166,fold0,1,lamellar,P2VP|PS,P2VP,PS,0.721649485,13891.43956,-0.09795101303573789
167,fold0,1,lamellar,P2VP|PS,P2VP,PS,0.587628866,9428.741322,-0.4117224573236715
168,fold0,1,lamellar,P2VP|PS,P2VP,PS,0.768041237,13183.8,-0.10883164354217441
169,fold0,1,lamellar,P2VP|PS,P2VP,PS,0.889175258,15091.72883,0.03594637903762513
170,fold0,1,lamellar,P2VP|PS,P2VP,PS,0.670103093,11268.44309,-0.24253354510390543
171,fold0,1,lamellar,P2VP|PS,P2VP,PS,0.600515464,10345.02987,-0.31730432822991733
172,fold0,1,lamellar,P2VP|PS,P2VP,PS,0.724226804,13562.39539,-0.10314430213344737
173,fold0,0,other,P2VP|PS,P2VP,PS,0.574742268,12758.71094,-0.17222158831138332
174,fold0,0,other,P2VP|PS,P2VP,PS,0.664948454,13547.20151,-0.17226535284337247
175,fold4,1,lamellar,PI|PS,PI,PS,0.768041237,30300.0,0.11426521545811241
176,fold4,1,lamellar,PI|PS,PI,PS,0.739690722,30800.0,0.10773700629274269
177,fold4,0,other,PI|PS,PI,PS,0.716494845,31500.0,0.1026167821345783
178,fold4,0,other,PI|PS,PI,PS,0.726804124,31800.0,0.061054600411221085
179,fold4,0,other,PI|PS,PI,PS,0.755154639,33800.0,0.10575770906861523
180,fold4,0,other,PI|PS,PI,PS,0.858247423,36800.0,0.11208533811405703
181,fold4,0,other,PI|PS,PI,PS,0.920103093,54400.0,0.26289438842369733
182,fold4,1,lamellar,PI|PS,PI,PS,0.443298969,17000.0,-0.25536614170711797
183,fold4,1,lamellar,PI|PS,PI,PS,0.760309278,34600.0,0.5068858560817139
184,fold4,1,lamellar,PI|PS,PI,PS,0.81185567,39800.0,0.6559180514719372
185,fold4,0,other,PI|PS,PI,PS,0.842783505,39500.0,0.6557594173358209
186,fold4,0,other,PI|PS,PI,PS,0.81443299,39700.0,0.6579851466428297
187,fold4,0,other,PI|PS,PI,PS,0.81185567,39900.0,0.6787741217337635
188,fold4,0,other,PI|PS,PI,PS,0.806701031,39800.0,0.6839281836880771
189,fold4,0,other,PI|PS,PI,PS,0.579896907,34700.0,0.5553008545676689
190,fold4,0,other,PI|PS,PI,PS,0.896907216,79100.0,1.3604767197418868
191,fold1,0,other,PEO|PI,PEO,PI,0.213530928,6600.0,-0.7864535697903214
192,fold1,0,other,PEO|PI,PEO,PI,0.672293814,9800.0,-0.5894862627933805
193,fold1,0,other,PEO|PI,PEO,PI,0.716108247,10400.0,-0.6009325900631118
194,fold1,1,lamellar,PEO|PI,PEO,PI,0.677448454,7400.0,-1.22447783883123
195,fold1,1,lamellar,PEO|PI,PEO,PI,0.613015464,8100.0,-1.1312473974648232
196,fold1,0,other,PEO|PI,PEO,PI,0.844974227,10260.0,-0.9400071375401704
197,fold1,0,other,PEO|PI,PEO,PI,0.747036082,9200.0,-1.1290232872002146
198,fold1,0,other,PEO|PI,PEO,PI,0.672293814,8950.0,-1.252639970439484
199,fold1,1,lamellar,PEO|PI,PEO,PI,0.252190722,5400.0,-1.7528855765656652
200,fold2,1,lamellar,PE|PEE,PE,PEE,0.474226804,23900.0,0.943609659841236
201,fold2,1,lamellar,PE|PEE,PE,PEE,0.432989691,22800.0,0.8982957055763721
202,fold2,1,lamellar,PE|PEE,PE,PEE,0.835051546,34200.0,1.268842117929506
203,fold2,0,other,PE|PEE,PE,PEE,0.657216495,36300.0,1.3305371133373762
204,fold2,0,other,PE|PEE,PE,PEE,0.768041237,41500.0,1.4341407913368165
205,fold2,0,other,PE|PEE,PE,PEE,0.881443299,42500.0,1.4526871071583585
206,fold2,0,other,PE|PEE,PE,PEE,0.827319588,55600.0,1.602374045753303
207,fold4,1,lamellar,PI|PS,PI,PS,0.443298969,18000.0,-0.25188885220690616
208,fold0,1,lamellar,14PB|PS,14PB,PS,0.37628866,14000.0,-0.4757568996848513
209,fold0,1,lamellar,14PB|PS,14PB,PS,0.554123711,20000.0,-0.1537119468307268
210,fold0,1,lamellar,PEE|PVCH,PEE,PVCH,0.713917526,52000.0,1.4493633387200875
211,fold0,1,lamellar,PEE|PVCH,PEE,PVCH,0.670103093,52000.0,1.4589652240536737
212,fold2,1,lamellar,PEP|PVCH,PEP,PVCH,0.484536082,19000.0,0.01743468522000523
213,fold0,1,lamellar,PE|PVCH,PE,PVCH,0.729381443,15000.0,0.7224138421894531
214,fold0,1,lamellar,PE|PVCH,PE,PVCH,0.737113402,15000.0,0.7245594020594717
215,fold1,1,lamellar,PMMA|PS,PMMA,PS,0.646907216,28000.0,0.6334567678730525
216,fold1,1,lamellar,PMMA|PS,PMMA,PS,0.649484536,28000.0,0.6372224794116292
217,fold1,1,lamellar,PMMA|PS,PMMA,PS,0.652061856,28000.0,0.6339691855464045
218,fold0,1,lamellar,PI|PLA,PI,PLA,0.363402062,2750.0,-2.281976480531494
219,fold0,1,lamellar,PI|PLA,PI,PLA,0.407216495,3550.0,-2.0203113332808074
220,fold0,1,lamellar,PI|PLA,PI,PLA,0.518041237,4530.0,-1.7809966080409694
221,fold0,0,other,PI|PLA,PI,PLA,0.368556701,5390.0,-2.1395981434041618
222,fold0,1,lamellar,PI|PLA,PI,PLA,0.322164948,4270.0,-2.1984590084412337
223,fold0,1,lamellar,PI|PLA,PI,PLA,0.409793814,3690.0,-2.0113350763622266
224,fold0,1,lamellar,PI|PLA,PI,PLA,0.407216495,4380.0,-1.9805731859660314
225,fold0,0,other,PI|PLA,PI,PLA,0.37371134,6060.0,-2.104096696685699
226,fold0,1,lamellar,PI|PLA,PI,PLA,0.5,4080.0,-1.806081155942685
227,fold0,1,lamellar,PI|PLA,PI,PLA,0.37628866,3340.0,-1.8668860359171024
228,fold0,0,other,PI|PLA,PI,PLA,0.291237113,4000.0,-1.5181936248303978
229,fold0,0,other,PI|PLA,PI,PLA,0.394329897,4130.0,-1.5132615000609881
230,fold0,0,other,PI|PLA,PI,PLA,0.458762887,4580.0,-1.4559551450927448
231,fold0,0,other,PI|PLA,PI,PLA,0.25257732,3890.0,-1.5452960733136871
232,fold0,0,other,PI|PLA,PI,PLA,0.319587629,4970.0,-1.3085623822267125
233,fold3,0,other,PEO|POP,PEO,POP,0.574742268,22464.0,0.909735702021313
234,fold3,0,other,PEO|POP,PEO,POP,0.427835052,22824.0,0.766461224788221
235,fold3,0,other,PEO|POP,PEO,POP,0.417525773,9282.0,0.10706750907101159
236,fold3,1,lamellar,PEO|POP,PEO,POP,0.329896907,7716.0,0.07167703536538482
237,fold3,1,lamellar,PEO|POP,PEO,POP,0.453608247,10388.0,0.35099981639833855
238,fold3,1,lamellar,PEO|POP,PEO,POP,0.458762887,10812.0,0.37698527404004223
239,fold3,1,lamellar,PEO|POP,PEO,POP,0.510309278,12426.0,0.5246074499199653
240,fold4,0,other,PI|PS,PI,PS,0.409793814,51500.0,0.9552761435564721
241,fold4,0,other,PI|PS,PI,PS,0.538659794,64300.0,1.1672201323604865
242,fold4,0,other,PI|PS,PI,PS,0.703608247,64700.0,1.1824754206529564
243,fold4,0,other,PI|PS,PI,PS,0.548969072,64900.0,0.0348865508706555
244,fold4,0,other,PI|PS,PI,PS,0.644329897,76700.0,1.3354536431259942
245,fold4,0,other,PEP|PS,PEP,PS,0.43556701,26400.0,0.37587955673659573
246,fold4,0,other,PEP|PS,PEP,PS,0.765463918,40100.0,0.7594055999179
247,fold0,1,lamellar,PE|PVCH,PE,PVCH,0.556701031,12800.0,0.5623350966114307
248,fold0,1,lamellar,PE|PVCH,PE,PVCH,0.567010309,13200.0,0.5760070914790084
249,fold0,1,lamellar,PE|PVCH,PE,PVCH,0.587628866,13600.0,0.6027069932151253
250,fold0,1,lamellar,PE|PVCH,PE,PVCH,0.708762887,15600.0,0.7527347586545216
251,fold0,1,lamellar,PE|PVCH,PE,PVCH,0.726804124,16200.0,0.7846158473417224
252,fold0,1,lamellar,PE|PVCH,PE,PVCH,0.768041237,16400.0,0.8001949180994183
253,fold0,1,lamellar,PE|PVCH,PE,PVCH,0.801546392,16900.0,0.8180279721894574
254,fold0,1,lamellar,PE|PVCH,PE,PVCH,0.809278351,17000.0,0.8277551502928223
255,fold0,1,lamellar,PEE|PVCH,PEE,PVCH,0.597938144,37900.0,1.168066420284445
256,fold0,1,lamellar,PEE|PVCH,PEE,PVCH,0.579896907,39000.0,1.176112816638199
257,fold0,1,lamellar,PEE|PVCH,PEE,PVCH,0.587628866,40600.0,1.2157025560959471
258,fold0,1,lamellar,PEE|PVCH,PEE,PVCH,0.731958763,46900.0,1.3338622588994347
259,fold0,1,lamellar,PEE|PVCH,PEE,PVCH,0.827319588,53100.0,1.4428773374127426
260,fold0,1,lamellar,PEE|PVCH,PEE,PVCH,0.987113402,62300.0,1.5926316232324076
261,fold2,1,lamellar,PEP|PVCH,PEP,PVCH,0.481958763,18100.0,-0.03265158473675061
262,fold2,1,lamellar,PEP|PVCH,PEP,PVCH,0.574742268,20100.0,0.09128264808375967
263,fold2,1,lamellar,PEP|PVCH,PEP,PVCH,0.613402062,21400.0,0.12476750676885867
264,fold2,1,lamellar,PEP|PVCH,PEP,PVCH,0.618556701,21400.0,0.0842543657964779
265,fold2,1,lamellar,PEP|PVCH,PEP,PVCH,0.659793814,22000.0,0.19008568316565444
266,fold2,1,lamellar,PEP|PVCH,PEP,PVCH,0.641752577,22000.0,0.14429306027275116
267,fold2,1,lamellar,PEP|PVCH,PEP,PVCH,0.75,23400.0,0.2088121430394281
268,fold2,1,lamellar,PEP|PVCH,PEP,PVCH,0.775773196,24600.0,0.2502927809216287
269,fold4,0,other,PEP|PS,PEP,PS,0.43556701,26400.0,0.386030897194487
270,fold3,0,other,PEP|PSS,PEP,PSS,0.262886598,3200.0,-1.8058257018701862
271,fold3,0,other,PEP|PSS,PEP,PSS,0.265463918,3200.0,-1.856032489600174
272,fold3,0,other,PEP|PSS,PEP,PSS,0.260309278,3200.0,-1.7457303260302155
273,fold3,0,other,PEP|PSS,PEP,PSS,0.262886598,3200.0,-1.8010275531686892
274,fold3,1,lamellar,PEP|PSS,PEP,PSS,0.304123711,5600.0,-1.2632699942521648
275,fold3,1,lamellar,PEP|PSS,PEP,PSS,0.306701031,5600.0,-1.2474811559573176
276,fold3,1,lamellar,PEP|PSS,PEP,PSS,0.309278351,5600.0,-1.2645889824241558
277,fold3,1,lamellar,PEP|PSS,PEP,PSS,0.31185567,5600.0,-1.248777788397579
278,fold3,1,lamellar,PEO|PS,PEO,PS,0.257257326,4000.0,-1.0945215059013063
279,fold3,1,lamellar,PEO|PS,PEO,PS,0.263073735,4000.0,-1.0945215059013063
280,fold3,1,lamellar,PEO|PS,PEO,PS,0.269143734,4000.0,-1.0945215059013063
281,fold3,1,lamellar,PEO|PS,PEO,PS,0.275442627,4000.0,-1.1026758734556035
282,fold3,1,lamellar,PEO|PS,PEO,PS,0.281489832,4000.0,-1.0945215059013063
283,fold3,1,lamellar,PEO|PS,PEO,PS,0.285814148,4000.0,-1.1026758734556035
284,fold3,1,lamellar,PEO|PS,PEO,PS,0.292089297,4000.0,-1.0945215059013063
285,fold0,1,lamellar,PPC|PS,PPC,PS,0.556314433,15600.0,0.08128646788389099
286,fold0,1,lamellar,PPC|PS,PPC,PS,0.51507732,13700.0,-0.047026533196407705
287,fold0,1,lamellar,PPC|PS,PPC,PS,0.489304124,12200.0,-0.16608651410213376
288,fold3,1,lamellar,PEO|PS,PEO,PS,0.389175258,13600.0,0.2760581014959253
289,fold1,1,lamellar,PMMA|PS,PMMA,PS,0.639175258,29000.0,0.6475879548660259
290,fold0,1,lamellar,PDHS|PS,PDHS,PS,0.716494845,2150.0,-1.9537299919496887
291,fold0,0,other,PDHS|PS,PDHS,PS,0.845360825,4200.0,-1.63514748377034
292,fold0,0,other,PDHS|PS,PDHS,PS,0.896907216,4900.0,-1.4816285313879713
