glob_feat0,glob_feat1,f1,f2,fold,is_coexistence,is_target,SMILES0,seg0_dop_raw,seg0_block_id,SMILES1,seg1_dop_raw,seg1_block_id,SMILES2,seg2_dop_raw,seg2_block_id,SMILES3,seg3_dop_raw,seg3_block_id,SMILES4,seg4_dop_raw,seg4_block_id,SMILES5,seg5_dop_raw,seg5_block_id,SMILES6,seg6_dop_raw,seg6_block_id,SMILES7,seg7_dop_raw,seg7_block_id,SMILES8,seg8_dop_raw,seg8_block_id,SMILES9,seg9_dop_raw,seg9_block_id
0.2650773195876288,0.0072435585804569,0.766,0.234,1,1,1,*CCO*,157.0,0,*C\C=C(C)/C*,5.955477770735487,1,*C\C=C(C)\C*,5.505480162475077,1.0,*CC(C(C)=C)*,5.921425528324889,1.0,*CC(C)(C=C)*,5.617616538464546,1.0,,,,,,,,,,,,,,,
0.5103092783505154,0.4127369956246962,0.72,0.28,4,1,1,*CC(c1ccccc1)*,2853.0,0,*CC(C)(C(=O)OCCCC)*,790.0,1,,,,,,,,,,,,,,,,,,,,,,,,
0.5103092783505154,0.4487117160913952,0.74,0.26,4,1,1,*CC(c1ccccc1)*,3191.0,0,*CC(C)(C(=O)OCCCC)*,810.0,1,,,,,,,,,,,,,,,,,,,,,,,,
0.2315721649484536,0.0080700048614487,0.61,0.39,1,1,1,*C\C=C(C)/C*,18.70225710321374,0,*C\C=C(C)\C*,19.05794049964379,0,*CC(C(C)=C)*,19.95395958004737,0.0,*CC(C)(C=C)*,19.2858428170951,0.0,*CCO*,93.0,1.0,,,,,,,,,,,,,,,
0.2341494845360824,0.0080700048614487,0.61,0.39,1,1,1,*C\C=C(C)/C*,17.902724997071118,0,*C\C=C(C)\C*,18.53330397192018,0,*CC(C(C)=C)*,17.873610438324487,0.0,*CC(C)(C=C)*,20.69036059268421,0.0,*CCO*,94.0,1.0,,,,,,,,,,,,,,,
0.2367268041237113,0.0080700048614487,0.61,0.39,1,1,1,*C\C=C(C)/C*,19.391739947199923,0,*C\C=C(C)\C*,19.72989025817133,0,*CC(C(C)=C)*,18.63687851763993,0.0,*CC(C)(C=C)*,19.241491276988818,0.0,*CCO*,94.0,1.0,,,,,,,,,,,,,,,
0.2393041237113402,0.0080700048614487,0.61,0.39,1,1,1,*C\C=C(C)/C*,20.14387378371618,0,*C\C=C(C)\C*,19.6487181636444,0,*CC(C(C)=C)*,19.381799027017177,0.0,*CC(C)(C=C)*,17.825609025622242,0.0,*CCO*,95.0,1.0,,,,,,,,,,,,,,,
0.241881443298969,0.0080700048614487,0.61,0.39,1,1,1,*C\C=C(C)/C*,18.93584544803236,0,*C\C=C(C)\C*,19.229436485593357,0,*CC(C(C)=C)*,19.62407398928194,0.0,*CC(C)(C=C)*,18.210644077092358,0.0,*CCO*,93.0,1.0,,,,,,,,,,,,,,,
0.2444587628865979,0.0080700048614487,0.61,0.39,1,1,1,*C\C=C(C)/C*,19.46092134244648,0,*C\C=C(C)\C*,18.061532349497757,0,*CC(C(C)=C)*,19.43976152230398,0.0,*CC(C)(C=C)*,18.037784785751786,0.0,*CCO*,94.0,1.0,,,,,,,,,,,,,,,
0.2470360824742268,0.0080700048614487,0.61,0.39,1,1,1,*C\C=C(C)/C*,18.60253785966996,0,*C\C=C(C)\C*,19.40094430391076,0,*CC(C(C)=C)*,19.601693572970213,0.0,*CC(C)(C=C)*,18.394824263449067,0.0,*CCO*,94.0,1.0,,,,,,,,,,,,,,,
